Location,Job_Description,Sector,Eligibility,salary,Month,vacancies
DELHI,SALES & MARKETING AGENT,Sales/Retail/Business Development,BTech BE  ME MTech,35000,7,8
BENGALURU,GERMAN TRAINING COORDINATOR ,Customer Service/Support,BSc  Diploma,50000,9,8
BENGALURU,PROCESS ENGINEER                      ,Engineering,MPhil PhD,150000,7,3
BENGALURU,SENIOR SOFTWARE ENGINEER,IT/Software Development,BTech BE  ME MTech,60000,5,2
BENGALURU,GRAPHIC DESIGNER,Creative/Design,BDS  MBBS  BAMS,30000,7,2
BENGALURU,SENIOR SOFTWARE TESTER,IT/Software Development,BSc  Diploma  GNM,70000,1,2
BENGALURU,SR WEB APPLICATION & WEB DESIGNER ,IT/Software Development,BSc  Diploma,30000,6,2
BENGALURU,TITANIUM MOBILE DEVELOPER,IT/Software Development,10TH,35000,8,2
BENGALURU,DIRECT SALES AND MARKETING AGENT,Sales/Retail/Business Development,MSc  ME MTech,25000,6,40
BENGALURU,CUSTOMER SUPPORT ENGINEER,Customer Service/Support,8TH ,35000,5,2
BENGALURU,SALES & MARKETING EXECUTIVE,Sales/Retail/Business Development,BSc  BFSc,50000,5,2
BENGALURU,ACCOUNT MANGER,Marketing,CA  ICWA  MBA PGDM,150000,4,5
BENGALURU,"TECHNICAL SUPPORT ENGINEER ""FRENCH SPEAKER""",Engineering,MBBS,70000,9,40
ALEXNADRIA,UI/ UX DESIGNER,Creative/Design,12TH ,80000,12,2
BENGALURU,WEB DEVELOPER ,IT/Software Development,MSc,60000,7,3
BENGALURU,SENIOR PHP DEVELOPER,IT/Software Development,ME MTech  MPhil PhD,75000,12,5
BENGALURU,SENIOR QUALITY CONTROL ENGINEER ,Quality Assurance/Quality Control,12TH  DMLT,65000,11,2
BENGALURU,SALES ENGINEER,Engineering,12TH  DMLT,40000,3,2
BENGALURU,INTERNATIONAL CALL CENTER ADVISOR UK ACCOUNT ,Customer Service/Support,MLib,30000,3,100
BENGALURU,SENIOR WEB DEVELOPER,IT/Software Development,BTech BE  ME MTech,50000,3,2
BENGALURU,ENTERPRISE TECHNICAL SUPPORT ENGINEER ,IT/Software Development,MSc  MPhil PhD,35000,10,40
BENGALURU,TELE-SALES AGENTS,Customer Service/Support,MBBS  DNB  PG Diploma  MS MD,16000,2,100
BENGALURU,CALL CENTER ADVISOR,Customer Service/Support,BTech BE  MSc  MCA,12000,2,100
BENGALURU,GERMAN CALL CENTER,Customer Service/Support,MBBS,40000,2,80
BENGALURU,ADSL TECHNICAL SUPPORT AGENT ,IT/Software Development,MSc,20000,7,80
BENGALURU,REAL ESTATE SALES ADVISOR,Sales/Retail/Business Development,MPhil PhD,15000,9,4
BENGALURU,ARCHITECT,Engineering,BA  MA,35000,3,3
BENGALURU,SALES & MARKETING REPRESENTATIVE,Sales/Retail/Business Development,MSc,17500,3,2
BENGALURU,WEB DESIGNER & PHP WEB DEVELOPER,IT/Software Development,MVSC,20000,10,3
BENGALURU,TELESALES AGENT,Sales/Retail/Business Development,BSc  MSc  DMLT,50000,2,3
BENGALURU,ENGINEERS,Engineering,BSc Diploma BLib ,0,1,8
BENGALURU,SENIOR IOS DEVELOPER,IT/Software Development,BTech BE ,60000,2,2
BENGALURU,PROJECT MANGER,Project/Program Management,ME MTech  MS,150000,10,2
HYDERABAD,INTERNATIONAL TELESALES ADVISOR ,Sales/Retail/Business Development,BTech BE  MBBS  PG Diploma  MPhil PhD  MS MD,40000,0,5
